date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:19:02	12986/12986	U--MCZ	200	updated ('OK')	text/html	etag:5533440c6b99a2eef824f5defa14511a	http://www.thebandchanged.com/	www.thebandchanged.com/index.html	(from )
10:19:02	41029/41029	U-----	200	untouched ('OK')	application/x-javascript	etag:%226e4534b164fd11:0%22	http://img1.wsimg.com/starfield/duel/v2.5.8/duel.js?appid=O3BkA5J1	img1.wsimg.com/starfield/duel/v2.5.8/duel35bd.js	(from http://www.thebandchanged.com/)
10:19:02	39441/39441	U--MCZ	200	updated ('OK')	text/css	etag:1f3aabd6aaf97b33dde430e07a5ffce4	http://www.thebandchanged.com/site.css?v=	www.thebandchanged.com/siteec92.css	(from http://www.thebandchanged.com/)
10:19:03	10635/10635	U--MCZ	200	updated ('OK')	text/html	etag:cb8f0e6352e6f8eb53384dc103ffa87d	http://www.thebandchanged.com/about.html	www.thebandchanged.com/about.html	(from http://www.thebandchanged.com/)
10:19:03	12986/12986	U--MCZ	200	updated ('OK')	text/html	etag:5533440c6b99a2eef824f5defa14511a	http://www.thebandchanged.com/home.html	www.thebandchanged.com/home.html	(from http://www.thebandchanged.com/)
10:19:03	12822/12822	U--MCZ	200	updated ('OK')	text/html	etag:15b6469c9a3772280550ed203dd20301	http://www.thebandchanged.com/media.html	www.thebandchanged.com/media.html	(from http://www.thebandchanged.com/)
10:19:03	16378/16378	U--MCZ	200	updated ('OK')	text/html	etag:059a0b3eaa45e2b8781110acb053529e	http://www.thebandchanged.com/contact.html	www.thebandchanged.com/contact.html	(from http://www.thebandchanged.com/)
10:19:04	46502/46502	U--MCZ	200	updated ('OK')	text/html	etag:f4acb1a73cce0dc7a70cb7c75bd369e5	http://www.thebandchanged.com/gallery.html	www.thebandchanged.com/gallery.html	(from http://www.thebandchanged.com/)
10:19:04	12233/12233	U--MCZ	200	updated ('OK')	text/html	etag:b382fa1a76c070cf0deee4fcde9203e4	http://www.thebandchanged.com/upcoming-events.html	www.thebandchanged.com/upcoming-events.html	(from http://www.thebandchanged.com/)
10:19:04	9116/9116	U--MCZ	200	updated ('OK')	text/html	etag:d070527bd9fe33d4eb62577da167ea33	http://www.thebandchanged.com/news-feed.html	www.thebandchanged.com/news-feed.html	(from http://www.thebandchanged.com/)
